prov_res,provincia,anio,egresos,reingresos_30d,grupos_sinteticos,tasa_reingreso_30d
11,Loja,2024,34653,14953,731,43.15066517
12,Los Ríos,2024,48781,15673,715,32.12931264
13,Manabí,2024,105370,26393,753,25.04792635
14,Morona Santiago,2024,16407,7132,695,43.46925093
15,Napo,2024,10510,4350,626,41.38915319
16,Pastaza,2024,8006,3397,614,42.43067699
17,Pichincha,2024,225068,43054,773,19.1293298
18,Tungurahua,2024,46778,17478,753,37.36371799
19,Zamora Chinchipe,2024,11051,5132,637,46.43923627
20,Galápagos,2024,2219,1021,461,46.01171699
21,Sucumbíos,2024,14463,5938,658,41.05648897
22,Orellana,2024,9054,3847,622,42.4895074
23,Santo Domingo de los Tsáchilas,2024,35425,13824,719,39.02328864
24,Santa Elena,2024,21850,8310,686,38.03203661
88,Zona no delimitada,2024,514,118,235,22.95719844
