escenario,k_minimo,k_mediana,grupos_totales,grupos_k_menor_50,registros,porcentaje_registros_conservados
Antes del control,1,53.0,18738,8997,5379828,100.0
Después de aplicar K >= 50,50,164.0,9741,0,5209582,96.8354750374919
