version,workers,tiempo_segundos,memoria_pico_mb,speedup,eficiencia
Pandas,1,87.630245,2354.38,1.0,1.0
Dask,1,95.874845,1808.34,0.9140066406365508,0.9140066406365508
Dask,2,89.540606,2152.07,0.9786648640729548,0.4893324320364774
Dask,4,111.484811,2537.58,0.7860285559438228,0.1965071389859557
Dask,8,188.055843,4044.38,0.46597991108417725,0.058247488885522156
