llave_sintetica,k
A_24_1_35-39,46
A_24_1_45-49,44
A_24_1_50-54,49
A_24_1_70-74,37
A_24_1_75-79,35
A_24_1_80-84,25
A_24_1_85 y más,21
A_24_2_45-49,48
A_24_2_65-69,46
A_24_2_70-74,31
A_24_2_75-79,20
A_24_2_80-84,25
A_24_2_85 y más,19
A_88_1_1-4,16
A_88_1_10-14,5
A_88_1_15-19,3
A_88_1_20-24,4
A_88_1_25-29,4
A_88_1_30-34,5
A_88_1_35-39,1
A_88_1_40-44,5
A_88_1_45-49,1
A_88_1_5-9,18
A_88_1_50-54,1
A_88_1_55-59,1
A_88_1_60-64,1
A_88_1_65-69,1
A_88_1_75-79,1
A_88_1_85 y más,1
A_88_1_Menor de 1,4
A_88_2_1-4,13
A_88_2_10-14,6
A_88_2_15-19,5
A_88_2_20-24,9
A_88_2_25-29,9
A_88_2_30-34,4
A_88_2_35-39,2
A_88_2_40-44,1
A_88_2_45-49,2
A_88_2_5-9,9
A_88_2_50-54,1
A_88_2_55-59,3
A_88_2_65-69,4
A_88_2_70-74,2
A_88_2_85 y más,1
A_88_2_Menor de 1,6
B_01_1_1-4,41
B_01_1_10-14,13
B_01_1_15-19,38
B_01_1_20-24,26
B_01_1_30-34,48
B_01_1_35-39,43
B_01_1_45-49,25
B_01_1_5-9,36
B_01_1_50-54,25
B_01_1_55-59,15
B_01_1_60-64,25
B_01_1_65-69,30
B_01_1_70-74,11
B_01_1_75-79,15
B_01_1_80-84,13
B_01_1_85 y más,12
B_01_1_Menor de 1,17
B_01_2_1-4,36
B_01_2_10-14,20
B_01_2_15-19,18
B_01_2_20-24,15
B_01_2_25-29,14
B_01_2_30-34,18
B_01_2_35-39,24
B_01_2_40-44,19
B_01_2_45-49,13
B_01_2_5-9,28
B_01_2_50-54,21
B_01_2_55-59,17
B_01_2_60-64,18
B_01_2_65-69,24
B_01_2_70-74,31
B_01_2_75-79,24
B_01_2_80-84,25
B_01_2_85 y más,35
B_01_2_Menor de 1,13
B_02_1_1-4,15
B_02_1_10-14,11
B_02_1_15-19,3
B_02_1_20-24,5
B_02_1_25-29,8
B_02_1_30-34,17
B_02_1_35-39,9
B_02_1_40-44,5
B_02_1_45-49,3
B_02_1_5-9,19
B_02_1_50-54,9
B_02_1_55-59,3
B_02_1_60-64,6
B_02_1_65-69,3
B_02_1_70-74,6
B_02_1_75-79,5
B_02_1_80-84,6
B_02_1_85 y más,4
B_02_1_Menor de 1,6
B_02_2_1-4,26
B_02_2_10-14,2
B_02_2_15-19,6
B_02_2_20-24,9
B_02_2_25-29,10
B_02_2_30-34,6
B_02_2_35-39,5
B_02_2_40-44,2
B_02_2_45-49,2
B_02_2_5-9,19
B_02_2_50-54,5
B_02_2_55-59,8
B_02_2_60-64,4
B_02_2_65-69,6
B_02_2_70-74,2
B_02_2_75-79,4
B_02_2_80-84,3
B_02_2_85 y más,3
B_02_2_Menor de 1,4
B_03_1_1-4,15
B_03_1_10-14,15
B_03_1_15-19,15
B_03_1_20-24,15
B_03_1_25-29,13
B_03_1_30-34,22
B_03_1_35-39,6
B_03_1_40-44,13
B_03_1_45-49,4
B_03_1_5-9,18
B_03_1_50-54,4
B_03_1_55-59,4
B_03_1_60-64,7
B_03_1_65-69,9
B_03_1_70-74,5
B_03_1_75-79,7
B_03_1_80-84,5
B_03_1_85 y más,7
B_03_1_Menor de 1,12
B_03_2_1-4,10
B_03_2_10-14,9
B_03_2_15-19,5
B_03_2_20-24,7
B_03_2_25-29,9
B_03_2_30-34,10
B_03_2_35-39,5
B_03_2_40-44,6
B_03_2_45-49,10
