llave_sintetica,k
C_04_2_25-29,23
C_04_2_30-34,48
C_04_2_35-39,35
C_04_2_5-9,7
C_04_2_80-84,36
C_04_2_85 y más,19
C_04_2_Menor de 1,4
C_05_1_1-4,35
C_05_1_20-24,47
C_05_1_25-29,49
C_05_1_Menor de 1,6
C_05_2_1-4,45
C_05_2_10-14,34
C_05_2_15-19,42
C_05_2_5-9,30
C_05_2_Menor de 1,6
C_06_1_1-4,18
C_06_1_10-14,46
C_06_1_15-19,38
C_06_1_Menor de 1,1
C_06_2_1-4,35
C_06_2_10-14,44
C_06_2_5-9,38
C_06_2_Menor de 1,1
C_07_1_Menor de 1,17
C_07_2_Menor de 1,11
C_08_1_10-14,43
C_08_1_15-19,39
C_08_1_20-24,36
C_08_1_30-34,39
C_08_1_35-39,25
C_08_1_5-9,45
C_08_1_85 y más,39
C_08_1_Menor de 1,9
C_08_2_1-4,29
C_08_2_20-24,23
C_08_2_5-9,31
C_08_2_80-84,47
C_08_2_85 y más,36
C_08_2_Menor de 1,12
C_09_2_Menor de 1,45
C_10_1_1-4,41
C_10_1_10-14,41
C_10_1_Menor de 1,3
C_10_2_1-4,22
C_10_2_10-14,31
C_10_2_5-9,21
C_10_2_Menor de 1,4
C_11_2_1-4,47
C_11_2_10-14,46
C_11_2_Menor de 1,2
C_12_1_Menor de 1,10
C_12_2_Menor de 1,15
C_13_1_Menor de 1,35
C_13_2_Menor de 1,17
C_14_1_1-4,45
C_14_1_15-19,25
C_14_1_20-24,32
C_14_1_25-29,20
C_14_1_30-34,19
C_14_1_35-39,17
C_14_1_85 y más,25
C_14_1_Menor de 1,7
C_14_2_1-4,27
C_14_2_20-24,9
C_14_2_25-29,19
C_14_2_5-9,13
C_14_2_75-79,44
C_14_2_80-84,35
C_14_2_85 y más,25
C_15_1_1-4,3
C_15_1_10-14,24
C_15_1_15-19,19
C_15_1_20-24,18
C_15_1_25-29,7
C_15_1_30-34,10
C_15_1_35-39,4
C_15_1_40-44,29
C_15_1_45-49,12
C_15_1_5-9,22
C_15_1_50-54,13
C_15_1_55-59,32
C_15_1_60-64,35
C_15_1_65-69,31
C_15_1_70-74,24
C_15_1_75-79,19
C_15_1_80-84,10
C_15_1_85 y más,14
C_15_2_1-4,26
C_15_2_10-14,11
C_15_2_15-19,5
C_15_2_20-24,10
C_15_2_25-29,15
C_15_2_30-34,26
C_15_2_35-39,37
C_15_2_40-44,36
C_15_2_45-49,40
C_15_2_5-9,10
C_15_2_60-64,38
C_15_2_65-69,27
C_15_2_70-74,20
C_15_2_75-79,20
C_15_2_80-84,7
C_15_2_85 y más,6
C_15_2_Menor de 1,4
C_16_1_1-4,14
C_16_1_10-14,24
C_16_1_15-19,4
C_16_1_20-24,13
C_16_1_25-29,19
C_16_1_30-34,13
C_16_1_35-39,7
C_16_1_40-44,23
C_16_1_45-49,17
C_16_1_5-9,22
C_16_1_50-54,31
C_16_1_55-59,23
C_16_1_65-69,38
C_16_1_70-74,40
C_16_1_75-79,45
C_16_1_80-84,17
C_16_1_85 y más,9
C_16_1_Menor de 1,2
C_16_2_1-4,9
C_16_2_10-14,15
C_16_2_15-19,11
C_16_2_20-24,16
C_16_2_25-29,15
C_16_2_30-34,26
C_16_2_35-39,36
C_16_2_40-44,34
C_16_2_5-9,8
C_16_2_50-54,38
C_16_2_70-74,27
C_16_2_75-79,39
C_16_2_80-84,13
C_16_2_85 y más,13
C_17_1_Menor de 1,16
C_17_2_Menor de 1,29
C_18_1_1-4,37
C_18_1_10-14,43
C_18_1_Menor de 1,3
C_18_2_1-4,39
C_18_2_Menor de 1,6
C_19_1_1-4,28
C_19_1_10-14,19
C_19_1_15-19,23
C_19_1_20-24,13
C_19_1_25-29,11
C_19_1_30-34,33
C_19_1_35-39,29
C_19_1_40-44,31
C_19_1_5-9,2
C_19_1_55-59,46
C_19_1_65-69,42
C_19_1_80-84,25
C_19_1_85 y más,37
C_19_2_1-4,1
C_19_2_10-14,33
C_19_2_15-19,5
C_19_2_20-24,18
C_19_2_25-29,28
C_19_2_30-34,35
C_19_2_5-9,18
C_19_2_75-79,33
C_19_2_80-84,40
C_19_2_85 y más,8
C_20_1_1-4,3
C_20_1_15-19,2
C_20_1_20-24,1
C_20_1_25-29,1
C_20_1_30-34,2
C_20_1_35-39,4
C_20_1_40-44,6
C_20_1_45-49,2
C_20_1_50-54,11
C_20_1_55-59,8
C_20_1_60-64,9
C_20_1_65-69,10
C_20_1_70-74,14
C_20_1_75-79,14
C_20_1_80-84,4
C_20_1_85 y más,1
C_20_1_Menor de 1,2
C_20_2_1-4,2
C_20_2_10-14,1
C_20_2_20-24,1
C_20_2_25-29,3
C_20_2_30-34,11
C_20_2_35-39,8
C_20_2_40-44,10
C_20_2_45-49,16
C_20_2_5-9,17
C_20_2_50-54,25
C_20_2_55-59,8
C_20_2_60-64,11
C_20_2_65-69,6
C_20_2_70-74,7
C_20_2_75-79,4
C_20_2_85 y más,2
C_20_2_Menor de 1,1
C_21_1_1-4,14
C_21_1_10-14,39
C_21_1_15-19,21
C_21_1_20-24,15
C_21_1_25-29,16
C_21_1_30-34,35
C_21_1_35-39,25
C_21_1_40-44,21
C_21_1_45-49,34
C_21_1_5-9,19
C_21_1_50-54,33
C_21_1_55-59,49
C_21_1_70-74,23
C_21_1_75-79,47
C_21_1_80-84,21
C_21_1_85 y más,15
C_21_2_1-4,31
C_21_2_10-14,14
C_21_2_15-19,17
C_21_2_20-24,14
C_21_2_25-29,22
C_21_2_35-39,43
C_21_2_5-9,6
C_21_2_60-64,36
C_21_2_65-69,31
C_21_2_70-74,24
C_21_2_75-79,20
C_21_2_80-84,4
C_21_2_85 y más,7
C_21_2_Menor de 1,1
C_22_1_1-4,14
C_22_1_10-14,21
C_22_1_15-19,9
C_22_1_20-24,7
C_22_1_25-29,10
C_22_1_30-34,16
C_22_1_35-39,21
C_22_1_40-44,20
C_22_1_45-49,5
C_22_1_5-9,23
C_22_1_50-54,19
C_22_1_55-59,44
C_22_1_60-64,38
C_22_1_65-69,27
C_22_1_70-74,18
C_22_1_75-79,20
C_22_1_80-84,13
C_22_1_85 y más,5
C_22_1_Menor de 1,1
C_22_2_1-4,20
C_22_2_10-14,9
C_22_2_15-19,5
C_22_2_20-24,8
C_22_2_25-29,17
C_22_2_30-34,22
C_22_2_35-39,37
C_22_2_45-49,42
C_22_2_5-9,5
C_22_2_50-54,42
C_22_2_55-59,48
C_22_2_60-64,28
C_22_2_65-69,26
C_22_2_70-74,14
C_22_2_75-79,13
C_22_2_80-84,3
C_23_1_30-34,47
C_23_1_Menor de 1,6
C_23_2_15-19,47
C_23_2_85 y más,48
C_23_2_Menor de 1,6
C_24_1_15-19,44
C_24_1_25-29,21
C_24_1_30-34,48
C_24_1_35-39,29
C_24_1_40-44,45
C_24_1_45-49,37
C_24_1_80-84,24
C_24_1_85 y más,18
C_24_1_Menor de 1,4
C_24_2_1-4,44
C_24_2_15-19,49
C_24_2_20-24,28
C_24_2_25-29,19
C_24_2_30-34,35
C_24_2_5-9,30
C_24_2_75-79,32
C_24_2_80-84,31
C_24_2_85 y más,22
C_24_2_Menor de 1,2
C_88_1_1-4,9
C_88_1_15-19,2
C_88_1_20-24,1
C_88_1_25-29,1
C_88_1_30-34,2
C_88_1_45-49,1
C_88_1_60-64,2
C_88_1_65-69,2
C_88_1_75-79,3
C_88_1_80-84,3
C_88_1_85 y más,1
C_88_2_10-14,2
C_88_2_35-39,1
C_88_2_40-44,1
C_88_2_45-49,4
C_88_2_50-54,1
C_88_2_55-59,2
C_88_2_60-64,3
C_88_2_65-69,1
C_88_2_70-74,2
C_88_2_75-79,2
D_01_1_Menor de 1,49
D_01_2_Menor de 1,47
D_02_1_1-4,29
D_02_1_10-14,26
D_02_1_15-19,23
D_02_1_20-24,21
D_02_1_25-29,31
D_02_1_30-34,21
D_02_1_35-39,36
D_02_1_40-44,24
D_02_1_45-49,28
D_02_1_5-9,22
D_02_1_50-54,41
D_02_1_55-59,37
D_02_1_60-64,28
D_02_1_65-69,45
D_02_1_70-74,36
D_02_1_75-79,42
D_02_1_80-84,27
D_02_1_85 y más,20
D_02_1_Menor de 1,27
D_02_2_1-4,18
D_02_2_10-14,30
D_02_2_15-19,46
D_02_2_20-24,46
D_02_2_5-9,10
D_02_2_60-64,49
D_02_2_65-69,49
D_02_2_70-74,47
D_02_2_75-79,22
D_02_2_80-84,29
D_02_2_85 y más,29
D_02_2_Menor de 1,12
D_03_1_1-4,29
D_03_1_10-14,33
D_03_1_15-19,33
D_03_1_20-24,21
D_03_1_25-29,29
D_03_1_30-34,29
D_03_1_35-39,33
D_03_1_40-44,28
D_03_1_45-49,35
D_03_1_5-9,22
D_03_1_50-54,34
D_03_1_55-59,30
D_03_1_60-64,42
D_03_1_65-69,48
D_03_1_75-79,41
D_03_1_80-84,39
D_03_1_85 y más,42
D_03_1_Menor de 1,24
D_03_2_1-4,34
D_03_2_10-14,31
D_03_2_15-19,48
D_03_2_5-9,17
D_03_2_Menor de 1,22
D_04_1_1-4,33
D_04_1_10-14,19
D_04_1_15-19,30
D_04_1_20-24,18
D_04_1_25-29,26
D_04_1_30-34,19
D_04_1_35-39,38
D_04_1_40-44,30
D_04_1_45-49,39
D_04_1_5-9,33
D_04_1_50-54,38
D_04_1_60-64,40
D_04_1_65-69,47
D_04_1_70-74,33
D_04_1_75-79,46
D_04_1_80-84,13
D_04_1_85 y más,23
D_04_1_Menor de 1,11
D_04_2_1-4,33
D_04_2_10-14,25
D_04_2_15-19,46
D_04_2_25-29,49
D_04_2_5-9,15
D_04_2_65-69,40
D_04_2_70-74,44
D_04_2_75-79,25
D_04_2_80-84,14
D_04_2_85 y más,8
D_04_2_Menor de 1,3
D_05_1_1-4,45
D_05_1_20-24,46
D_05_1_25-29,28
D_05_1_30-34,48
D_05_1_35-39,30
D_05_1_55-59,42
D_05_1_60-64,48
D_05_1_75-79,43
D_05_1_80-84,42
D_05_1_85 y más,49
D_05_1_Menor de 1,28
D_05_2_5-9,48
D_05_2_75-79,36
D_05_2_80-84,34
D_05_2_85 y más,24
D_05_2_Menor de 1,24
D_06_1_10-14,45
D_06_1_25-29,49
D_06_1_Menor de 1,16
D_06_2_5-9,45
D_06_2_80-84,38
D_06_2_Menor de 1,23
D_08_1_15-19,49
D_08_1_20-24,42
D_08_1_25-29,31
D_08_1_30-34,42
D_08_1_35-39,46
D_08_1_45-49,42
D_08_1_70-74,46
D_08_1_80-84,28
D_08_1_85 y más,24
D_08_1_Menor de 1,32
D_08_2_70-74,46
D_08_2_75-79,39
D_08_2_80-84,15
D_08_2_85 y más,31
D_08_2_Menor de 1,19
D_10_1_20-24,44
D_10_1_30-34,46
D_10_1_80-84,43
D_10_1_Menor de 1,29
D_10_2_1-4,28
D_10_2_Menor de 1,19
D_11_1_20-24,48
D_11_1_5-9,43
D_11_1_Menor de 1,47
D_11_2_1-4,19
D_11_2_Menor de 1,27
D_12_2_Menor de 1,46
D_14_1_1-4,39
D_14_1_10-14,19
D_14_1_15-19,21
D_14_1_20-24,13
D_14_1_25-29,18
D_14_1_30-34,14
D_14_1_35-39,27
D_14_1_40-44,18
D_14_1_45-49,21
D_14_1_5-9,37
D_14_1_50-54,39
D_14_1_55-59,25
D_14_1_60-64,42
D_14_1_65-69,16
D_14_1_70-74,22
D_14_1_75-79,29
D_14_1_80-84,14
D_14_1_85 y más,15
D_14_1_Menor de 1,21
D_14_2_1-4,25
D_14_2_10-14,45
D_14_2_20-24,29
D_14_2_25-29,38
D_14_2_5-9,40
D_14_2_55-59,42
D_14_2_65-69,37
D_14_2_70-74,31
D_14_2_75-79,20
D_14_2_80-84,20
D_14_2_85 y más,20
D_14_2_Menor de 1,20
D_15_1_1-4,11
D_15_1_10-14,16
D_15_1_15-19,14
D_15_1_20-24,8
D_15_1_25-29,14
D_15_1_30-34,13
D_15_1_35-39,5
D_15_1_40-44,7
D_15_1_45-49,7
D_15_1_5-9,14
D_15_1_50-54,10
D_15_1_55-59,16
D_15_1_60-64,9
D_15_1_65-69,14
D_15_1_70-74,11
D_15_1_75-79,14
D_15_1_80-84,9
D_15_1_85 y más,9
D_15_1_Menor de 1,13
D_15_2_1-4,15
D_15_2_10-14,10
D_15_2_15-19,34
D_15_2_20-24,34
D_15_2_25-29,28
D_15_2_5-9,8
D_15_2_55-59,34
D_15_2_60-64,24
D_15_2_65-69,15
D_15_2_70-74,4
D_15_2_75-79,15
D_15_2_80-84,5
D_15_2_85 y más,7
D_15_2_Menor de 1,7
D_16_1_1-4,24
D_16_1_10-14,16
D_16_1_15-19,22
D_16_1_20-24,12
D_16_1_25-29,16
D_16_1_30-34,28
D_16_1_35-39,31
D_16_1_40-44,24
D_16_1_45-49,17
D_16_1_5-9,29
D_16_1_50-54,18
D_16_1_55-59,16
D_16_1_60-64,13
D_16_1_65-69,18
D_16_1_70-74,16
D_16_1_75-79,11
D_16_1_80-84,10
D_16_1_85 y más,9
D_16_1_Menor de 1,22
D_16_2_1-4,26
D_16_2_10-14,16
D_16_2_15-19,44
D_16_2_20-24,44
D_16_2_5-9,18
D_16_2_55-59,45
D_16_2_60-64,31
D_16_2_65-69,27
D_16_2_70-74,15
D_16_2_75-79,10
D_16_2_80-84,12
D_16_2_85 y más,12
D_16_2_Menor de 1,8
D_18_1_Menor de 1,24
D_18_2_Menor de 1,26
D_19_1_1-4,33
D_19_1_10-14,17
D_19_1_15-19,13
D_19_1_20-24,19
D_19_1_25-29,16
D_19_1_30-34,12
D_19_1_35-39,16
D_19_1_40-44,19
D_19_1_45-49,29
D_19_1_5-9,15
D_19_1_50-54,23
D_19_1_55-59,19
D_19_1_60-64,16
D_19_1_65-69,19
D_19_1_70-74,19
D_19_1_75-79,22
D_19_1_80-84,12
D_19_1_85 y más,15
D_19_1_Menor de 1,22
D_19_2_1-4,15
D_19_2_10-14,21
D_19_2_15-19,35
D_19_2_20-24,41
D_19_2_25-29,44
D_19_2_5-9,7
D_19_2_55-59,18
D_19_2_60-64,23
D_19_2_65-69,29
D_19_2_70-74,18
D_19_2_75-79,24
D_19_2_80-84,11
D_19_2_85 y más,10
D_19_2_Menor de 1,9
D_20_1_1-4,6
D_20_1_10-14,7
D_20_1_15-19,8
D_20_1_20-24,3
D_20_1_25-29,2
D_20_1_30-34,7
D_20_1_35-39,5
D_20_1_40-44,4
D_20_1_45-49,9
D_20_1_5-9,1
D_20_1_50-54,9
D_20_1_55-59,4
D_20_1_60-64,4
D_20_1_65-69,8
D_20_1_70-74,9
D_20_1_75-79,1
D_20_1_80-84,3
D_20_1_85 y más,1
D_20_1_Menor de 1,1
D_20_2_1-4,2
D_20_2_10-14,5
D_20_2_15-19,5
D_20_2_20-24,4
D_20_2_25-29,13
D_20_2_30-34,20
D_20_2_35-39,17
D_20_2_40-44,32
D_20_2_45-49,35
D_20_2_5-9,3
D_20_2_50-54,22
D_20_2_55-59,9
D_20_2_60-64,10
D_20_2_65-69,6
D_20_2_70-74,4
D_20_2_75-79,4
D_20_2_80-84,3
D_20_2_85 y más,2
D_20_2_Menor de 1,1
D_21_1_1-4,26
D_21_1_10-14,34
D_21_1_15-19,46
D_21_1_20-24,21
D_21_1_25-29,17
D_21_1_30-34,34
D_21_1_35-39,25
D_21_1_40-44,29
D_21_1_45-49,17
D_21_1_5-9,27
D_21_1_50-54,24
D_21_1_55-59,23
D_21_1_60-64,27
D_21_1_65-69,36
D_21_1_70-74,28
D_21_1_75-79,11
D_21_1_80-84,16
D_21_1_85 y más,16
D_21_1_Menor de 1,6
D_21_2_1-4,42
D_21_2_10-14,34
D_21_2_15-19,47
D_21_2_20-24,38
D_21_2_5-9,16
D_21_2_55-59,37
D_21_2_60-64,38
D_21_2_65-69,26
D_21_2_70-74,13
D_21_2_75-79,11
D_21_2_80-84,8
D_21_2_85 y más,5
D_21_2_Menor de 1,8
D_22_1_1-4,34
D_22_1_10-14,13
D_22_1_15-19,16
D_22_1_20-24,6
D_22_1_25-29,12
D_22_1_30-34,14
D_22_1_35-39,20
D_22_1_40-44,10
D_22_1_45-49,7
D_22_1_5-9,24
D_22_1_50-54,17
D_22_1_55-59,11
D_22_1_60-64,12
D_22_1_65-69,12
D_22_1_70-74,9
D_22_1_75-79,18
D_22_1_80-84,2
D_22_1_85 y más,6
D_22_1_Menor de 1,3
D_22_2_1-4,22
D_22_2_10-14,21
D_22_2_15-19,20
D_22_2_20-24,25
D_22_2_25-29,34
D_22_2_30-34,29
D_22_2_5-9,11
D_22_2_50-54,44
D_22_2_55-59,20
D_22_2_60-64,13
D_22_2_65-69,12
D_22_2_70-74,4
D_22_2_75-79,7
D_22_2_80-84,1
D_22_2_85 y más,3
D_22_2_Menor de 1,4
D_23_1_20-24,41
D_23_1_25-29,35
D_23_1_30-34,30
D_23_1_45-49,42
D_23_1_80-84,43
D_23_1_85 y más,43
D_23_2_80-84,49
D_23_2_85 y más,38
D_23_2_Menor de 1,46
D_24_1_10-14,34
D_24_1_15-19,34
D_24_1_20-24,35
D_24_1_25-29,28
D_24_1_30-34,28
D_24_1_35-39,25
D_24_1_40-44,35
D_24_1_45-49,43
D_24_1_5-9,18
D_24_1_75-79,45
D_24_1_80-84,18
D_24_1_85 y más,20
D_24_1_Menor de 1,49
D_24_2_10-14,49
D_24_2_5-9,37
D_24_2_75-79,45
D_24_2_80-84,23
D_24_2_85 y más,26
D_24_2_Menor de 1,34
D_88_1_1-4,1
D_88_1_20-24,2
D_88_1_25-29,1
D_88_1_30-34,1
D_88_1_40-44,2
D_88_1_45-49,1
D_88_1_5-9,1
D_88_1_50-54,3
D_88_1_55-59,1
D_88_1_60-64,1
D_88_1_65-69,3
D_88_1_70-74,2
D_88_1_75-79,2
D_88_1_80-84,1
D_88_2_1-4,2
D_88_2_10-14,2
D_88_2_25-29,3
D_88_2_30-34,6
D_88_2_35-39,7
D_88_2_40-44,5
D_88_2_45-49,11
D_88_2_50-54,8
D_88_2_60-64,1
D_88_2_70-74,1
D_88_2_75-79,1
E_01_1_15-19,47
E_02_1_1-4,24
E_02_1_10-14,9
E_02_1_15-19,10
E_02_1_20-24,9
E_02_1_25-29,8
E_02_1_30-34,8
E_02_1_35-39,8
E_02_1_40-44,27
E_02_1_45-49,43
E_02_1_5-9,7
E_02_1_60-64,49
E_02_1_80-84,42
E_02_1_85 y más,41
E_02_1_Menor de 1,13
E_02_2_1-4,7
E_02_2_10-14,4
E_02_2_15-19,7
E_02_2_20-24,20
E_02_2_25-29,18
E_02_2_30-34,23
E_02_2_35-39,42
E_02_2_40-44,27
E_02_2_5-9,8
E_02_2_Menor de 1,17
E_03_1_10-14,22
E_03_1_15-19,13
E_03_1_20-24,14
E_03_1_25-29,9
E_03_1_30-34,26
E_03_1_35-39,38
E_03_1_40-44,45
E_03_1_5-9,29
E_03_2_20-24,35
E_03_2_5-9,18
E_04_1_1-4,29
E_04_1_10-14,6
E_04_1_15-19,8
E_04_1_20-24,18
E_04_1_25-29,11
E_04_1_30-34,23
E_04_1_35-39,29
E_04_1_40-44,37
E_04_1_45-49,47
E_04_1_5-9,12
E_04_1_80-84,31
E_04_1_Menor de 1,24
E_04_2_1-4,17
E_04_2_10-14,9
E_04_2_15-19,10
E_04_2_20-24,10
E_04_2_25-29,26
E_04_2_30-34,39
E_04_2_35-39,31
E_04_2_5-9,11
E_04_2_Menor de 1,22
E_05_1_10-14,32
E_05_1_15-19,19
E_05_1_20-24,20
E_05_1_25-29,40
E_05_1_30-34,45
E_05_1_35-39,40
E_05_1_5-9,20
E_05_1_Menor de 1,35
E_05_2_1-4,47
E_05_2_10-14,17
E_05_2_15-19,34
E_05_2_20-24,48
E_05_2_35-39,48
E_05_2_Menor de 1,37
E_06_1_10-14,24
E_06_1_15-19,28
E_06_1_20-24,21
E_06_1_25-29,36
E_06_1_30-34,48
E_06_1_5-9,23
E_06_1_Menor de 1,45
E_06_2_10-14,20
E_06_2_15-19,23
E_06_2_5-9,26
E_06_2_Menor de 1,33
E_07_1_15-19,23
E_07_1_20-24,48
E_08_1_10-14,34
E_08_1_15-19,13
E_08_1_20-24,25
E_08_1_25-29,27
E_08_1_30-34,49
E_08_1_35-39,42
E_08_1_5-9,13
E_08_1_80-84,35
E_08_1_85 y más,21
E_08_2_1-4,36
E_08_2_10-14,26
E_08_2_15-19,42
E_08_2_25-29,46
E_08_2_5-9,14
E_08_2_85 y más,45
E_10_1_1-4,46
E_10_1_10-14,24
E_10_1_15-19,29
E_10_1_20-24,27
E_10_1_25-29,45
E_10_1_5-9,27
E_10_1_Menor de 1,38
E_10_2_1-4,48
E_10_2_10-14,42
E_10_2_Menor de 1,28
E_11_1_10-14,35
E_11_1_15-19,28
E_11_1_20-24,30
E_11_1_5-9,34
E_11_1_Menor de 1,45
E_11_2_10-14,25
E_11_2_5-9,45
E_11_2_Menor de 1,29
E_12_1_10-14,42
E_12_1_15-19,37
E_12_1_20-24,39
E_12_1_25-29,48
E_14_1_10-14,10
E_14_1_15-19,19
E_14_1_20-24,13
E_14_1_25-29,26
E_14_1_30-34,15
E_14_1_40-44,48
E_14_1_5-9,12
E_14_1_80-84,31
E_14_1_85 y más,40
E_14_1_Menor de 1,43
E_14_2_1-4,42
E_14_2_10-14,12
E_14_2_15-19,21
E_14_2_20-24,24
E_14_2_25-29,42
E_14_2_5-9,20
E_14_2_Menor de 1,39
E_15_1_1-4,25
E_15_1_10-14,18
E_15_1_15-19,11
E_15_1_20-24,2
E_15_1_25-29,6
E_15_1_30-34,11
E_15_1_35-39,12
E_15_1_40-44,26
E_15_1_45-49,16
E_15_1_5-9,37
E_15_1_50-54,23
E_15_1_55-59,38
E_15_1_60-64,32
E_15_1_65-69,29
E_15_1_70-74,26
E_15_1_75-79,18
E_15_1_80-84,11
E_15_1_85 y más,18
E_15_1_Menor de 1,37
E_15_2_1-4,34
E_15_2_10-14,8
E_15_2_15-19,25
E_15_2_20-24,23
E_15_2_25-29,20
E_15_2_30-34,18
E_15_2_35-39,28
E_15_2_40-44,29
E_15_2_45-49,40
E_15_2_5-9,15
E_15_2_50-54,37
E_15_2_55-59,35
E_15_2_60-64,36
E_15_2_65-69,34
E_15_2_70-74,32
E_15_2_75-79,16
E_15_2_80-84,19
E_15_2_85 y más,18
E_15_2_Menor de 1,35
E_16_1_1-4,25
E_16_1_10-14,3
E_16_1_15-19,5
E_16_1_20-24,4
E_16_1_25-29,3
E_16_1_30-34,16
E_16_1_35-39,11
E_16_1_40-44,10
E_16_1_45-49,30
E_16_1_5-9,3
E_16_1_50-54,44
E_16_1_55-59,40
E_16_1_65-69,40
E_16_1_70-74,38
E_16_1_75-79,15
E_16_1_80-84,20
E_16_1_85 y más,16
E_16_1_Menor de 1,27
E_16_2_1-4,15
E_16_2_10-14,9
E_16_2_15-19,9
E_16_2_20-24,11
E_16_2_25-29,18
E_16_2_30-34,20
E_16_2_35-39,23
E_16_2_40-44,37
E_16_2_45-49,35
E_16_2_5-9,10
E_16_2_50-54,43
E_16_2_55-59,48
E_16_2_60-64,40
E_16_2_70-74,45
E_16_2_75-79,33
E_16_2_80-84,29
E_16_2_85 y más,36
E_16_2_Menor de 1,20
E_18_1_10-14,33
E_18_1_15-19,30
E_18_1_20-24,28
E_18_1_5-9,44
E_18_1_Menor de 1,47
E_18_2_10-14,40
E_18_2_15-19,47
E_18_2_5-9,28
E_18_2_Menor de 1,34
E_19_1_1-4,33
E_19_1_10-14,10
E_19_1_15-19,13
E_19_1_20-24,10
E_19_1_25-29,18
E_19_1_30-34,27
E_19_1_35-39,22
E_19_1_40-44,40
E_19_1_45-49,28
E_19_1_5-9,15
E_19_1_65-69,45
E_19_1_70-74,43
E_19_1_80-84,36
E_19_1_85 y más,38
E_19_1_Menor de 1,19
E_19_2_1-4,20
E_19_2_10-14,9
E_19_2_15-19,8
E_19_2_20-24,16
E_19_2_25-29,33
E_19_2_30-34,22
E_19_2_35-39,40
E_19_2_40-44,38
E_19_2_5-9,16
E_19_2_80-84,48
E_19_2_85 y más,44
E_19_2_Menor de 1,4
E_20_1_1-4,20
E_20_1_10-14,2
E_20_1_15-19,3
E_20_1_20-24,2
E_20_1_30-34,3
E_20_1_35-39,12
E_20_1_40-44,12
E_20_1_45-49,7
E_20_1_5-9,16
E_20_1_50-54,13
E_20_1_55-59,10
E_20_1_60-64,18
E_20_1_65-69,14
E_20_1_70-74,17
E_20_1_75-79,7
E_20_1_80-84,4
E_20_1_85 y más,5
E_20_1_Menor de 1,3
E_20_2_1-4,16
E_20_2_10-14,4
E_20_2_15-19,1
E_20_2_20-24,4
E_20_2_25-29,3
E_20_2_30-34,7
E_20_2_35-39,6
E_20_2_40-44,11
E_20_2_45-49,20
E_20_2_5-9,13
E_20_2_50-54,9
E_20_2_55-59,8
E_20_2_60-64,18
E_20_2_65-69,14
E_20_2_70-74,11
E_20_2_75-79,5
E_20_2_80-84,5
E_20_2_85 y más,7
E_20_2_Menor de 1,6
E_21_1_1-4,21
E_21_1_10-14,7
E_21_1_15-19,7
E_21_1_20-24,11
E_21_1_25-29,12
E_21_1_30-34,13
E_21_1_35-39,28
E_21_1_40-44,46
E_21_1_5-9,8
E_21_1_70-74,48
E_21_1_75-79,45
E_21_1_80-84,17
E_21_1_85 y más,17
E_21_1_Menor de 1,16
E_21_2_1-4,19
E_21_2_10-14,7
E_21_2_15-19,12
E_21_2_20-24,25
E_21_2_25-29,46
E_21_2_30-34,48
E_21_2_35-39,49
E_21_2_40-44,43
E_21_2_5-9,35
E_21_2_70-74,49
E_21_2_75-79,43
E_21_2_80-84,31
E_21_2_85 y más,16
E_21_2_Menor de 1,15
E_22_1_1-4,25
E_22_1_10-14,6
E_22_1_15-19,1
E_22_1_20-24,6
E_22_1_25-29,6
E_22_1_30-34,14
E_22_1_35-39,17
E_22_1_40-44,22
E_22_1_45-49,31
E_22_1_5-9,9
E_22_1_50-54,18
E_22_1_55-59,40
E_22_1_65-69,37
E_22_1_70-74,25
E_22_1_75-79,20
E_22_1_80-84,10
E_22_1_85 y más,13
E_22_1_Menor de 1,20
E_22_2_1-4,24
E_22_2_10-14,11
E_22_2_15-19,4
E_22_2_20-24,8
E_22_2_25-29,17
E_22_2_30-34,25
E_22_2_35-39,27
E_22_2_40-44,25
E_22_2_45-49,31
E_22_2_5-9,9
E_22_2_50-54,42
E_22_2_55-59,28
E_22_2_60-64,28
E_22_2_65-69,23
E_22_2_70-74,20
E_22_2_75-79,16
E_22_2_80-84,19
E_22_2_85 y más,19
E_22_2_Menor de 1,26
E_23_1_10-14,35
E_23_1_15-19,24
E_23_1_20-24,29
E_23_1_25-29,49
E_23_1_5-9,47
E_23_2_15-19,45
E_23_2_5-9,39
E_24_1_15-19,13
E_24_1_20-24,13
E_24_1_25-29,21
E_24_1_30-34,24
E_24_1_80-84,33
E_24_1_85 y más,37
E_24_1_Menor de 1,37
E_24_2_10-14,19
E_24_2_15-19,23
E_24_2_20-24,33
E_24_2_25-29,39
E_24_2_5-9,34
E_24_2_Menor de 1,35
E_88_1_1-4,1
E_88_1_15-19,6
E_88_1_20-24,1
E_88_1_30-34,3
E_88_1_35-39,3
E_88_1_40-44,1
E_88_1_45-49,2
E_88_1_5-9,1
E_88_1_50-54,3
E_88_1_55-59,2
E_88_1_65-69,2
E_88_1_70-74,5
E_88_1_85 y más,1
E_88_2_1-4,4
E_88_2_10-14,2
E_88_2_15-19,5
E_88_2_20-24,4
E_88_2_25-29,8
E_88_2_30-34,9
E_88_2_35-39,3
E_88_2_40-44,11
E_88_2_45-49,11
E_88_2_5-9,1
E_88_2_50-54,6
E_88_2_55-59,10
E_88_2_60-64,7
E_88_2_65-69,6
E_88_2_70-74,2
E_88_2_75-79,3
E_88_2_80-84,1
E_88_2_85 y más,1
E_88_2_Menor de 1,2
